Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148W_L,D_SOD-123,148.401188,-9.369864,180.0,bottom
D2,1N4148W_L,D_SOD-123,167.351188,-9.369864,180.0,bottom
D3,1N4148W_L,D_SOD-123,186.301188,-4.619864,180.0,bottom
D4,1N4148W_L,D_SOD-123,205.251188,-2.244864,180.0,bottom
D5,1N4148W_L,D_SOD-123,224.201188,-4.619864,180.0,bottom
D6,1N4148W_L,D_SOD-123,243.151188,-6.994864,180.0,bottom
D7,1N4148W_L,D_SOD-123,148.451188,-26.969864,180.0,bottom
D8,1N4148W_L,D_SOD-123,167.401188,-26.969864,180.0,bottom
D9,1N4148W_L,D_SOD-123,186.351188,-22.219864,180.0,bottom
D10,1N4148W_L,D_SOD-123,205.3,-19.844864,180.0,bottom
D11,1N4148W_L,D_SOD-123,224.25,-22.219864,180.0,bottom
D12,1N4148W_L,D_SOD-123,243.2,-24.594864,180.0,bottom
D13,1N4148W_L,D_SOD-123,148.401188,-46.019864,180.0,bottom
D14,1N4148W_L,D_SOD-123,167.401188,-46.019864,180.0,bottom
D15,1N4148W_L,D_SOD-123,186.351188,-41.269864,180.0,bottom
D16,1N4148W_L,D_SOD-123,205.3,-38.894864,180.0,bottom
D17,1N4148W_L,D_SOD-123,224.25,-41.269864,180.0,bottom
D18,1N4148W_L,D_SOD-123,243.2,-43.644864,180.0,bottom
D19,1N4148W_L,D_SOD-123,214.801188,-60.844864,180.0,bottom
D20,1N4148W_L,D_SOD-123,237.76594,-62.956058,165.0,bottom
D21,1N4148W_L,D_SOD-123,252.77187,-74.864737,-120.0,bottom
D22,1N4148W_R,D_SOD-123,121.566848,-9.369864,0.0,bottom
D23,1N4148W_R,D_SOD-123,102.516848,-9.369864,0.0,bottom
D24,1N4148W_R,D_SOD-123,83.466848,-4.619864,0.0,bottom
D25,1N4148W_R,D_SOD-123,64.416848,-2.244864,0.0,bottom
D26,1N4148W_R,D_SOD-123,45.366848,-4.619864,0.0,bottom
D27,1N4148W_R,D_SOD-123,26.316848,-6.994864,0.0,bottom
D28,1N4148W_R,D_SOD-123,121.616848,-26.969864,0.0,bottom
D29,1N4148W_R,D_SOD-123,102.566848,-26.969864,0.0,bottom
D30,1N4148W_R,D_SOD-123,83.516848,-22.219864,0.0,bottom
D31,1N4148W_R,D_SOD-123,64.466848,-19.844864,0.0,bottom
D32,1N4148W_R,D_SOD-123,45.416848,-22.219864,0.0,bottom
D33,1N4148W_R,D_SOD-123,26.366848,-24.594864,0.0,bottom
D34,1N4148W_R,D_SOD-123,121.566848,-46.019864,0.0,bottom
D35,1N4148W_R,D_SOD-123,102.566848,-46.019864,0.0,bottom
D36,1N4148W_R,D_SOD-123,83.516848,-41.269864,0.0,bottom
D37,1N4148W_R,D_SOD-123,64.466848,-38.894864,0.0,bottom
D38,1N4148W_R,D_SOD-123,45.416848,-41.269864,0.0,bottom
D39,1N4148W_R,D_SOD-123,26.366848,-43.644864,0.0,bottom
D40,1N4148W_R,D_SOD-123,54.966848,-60.844864,0.0,bottom
D41,1N4148W_R,D_SOD-123,32.151753,-64.720418,15.0,bottom
D42,1N4148W_R,D_SOD-123,19.857764,-68.156951,-60.0,bottom
SW1,DIP_L,SW_SPDT_PCM12,274.451188,-55.0,90.0,top
SW2,BOOT_Pin_L,SW_SPST_TL3342,265.751188,-53.6,180.0,top
SW3,DIP_R,SW_SPDT_PCM12,2.051188,-55.0,-90.0,top
SW4,BOOT_Pin_R,SW_SPST_TL3342,10.751188,-53.6,180.0,top
